Name,Biography,Time in metropolitan France,Date of departure
Jean Antoine Charles Morin,"Jean Antoine Charles Morin was a cadet of the Louisbourg troops starting in 1755.  He was assigned as a cadet of the national troops of French Guinea in 1764, and was then sub-lieutenant of the Guadeloupe regiment.  He left in 1775 and requested a place in the Mauritius offices, where he travelled in 1784.",Yes,1755
Vincelotte de Sainte-Hélène,"Vincelotte de Sainte-Hélène, born in Martinique, lost her fortune in Canada during the war of 1756.",,1756
Jacques Doumet de Siblas,"Jacques Doumet de Siblas was a sub-engineer at the Île Royale in 1756, then an engineer and then captain.  He was a major in Gorée in 1763, then a lieutenant colonel.  He was the major of Petit-Goâve in 1775, then was promoted to lieutenant of the king in 1780.  He was the lieutenant of the king of the CaOui in 1780, then was commander of the Port-au-Prince quarter in Saint-Domingue in 1783, before being promoted to colonel in 1785.",Yes,1756
Paul Perrault,"Paul Perrault was a major of the Canada militias from 1756 until the capitulation, and then travelled to Cayenne, where he died.",Yes,1756
Charles Gédéon de Catalogne,"Charles Gédéon de Catalogne was born in Louisbourg on February 14th 1735, and joined the service in Louisbourg in 1749.  He travelled to Canada in 1757, then in 1764 to Cayenne, before becoming lieutenant of the Port-au-Prince regiment, and captain aide-major of the CaOui (Saint-Domingue).",,1757
Louis d'Allemagne de Varage,"Louis d'Allemagne de Varage, a knight, born in 1740, was the captain of the Angoumois regiment, having fought in a campaign in Louisiana around 1757.  He travelled to Saint-Domingue around 1786, requested a station in a regiment of the colonies or a staff position in the Antilles.",Yes,1757
Maurice Régis Godefroy de Linetot,"Maurice Régis Godefroy de Linetot, born in Montreal, was in service in Canada in 1757, and was then captain of the Mauritius regiments.  He was injured in Madagascar, and was sent to the East Indies on a mission in 1757/1785.",,1757
Jean Barthélemy Dazille,"Jean Barthélemy Dazille, a surgeon, travelled to Canada starting in 1758.  In 1763, he obtained a certificate of major surgeon of the Cayenne troops.  Then in 1766, he received a certificate of major surgeon of the Mauritius hospitals, then of the king's surgeon in Saint-Domingue.",Yes,1758
Douin de La Motte,"Douin de La Motte was lieutenant in Louisiana in 1758, then captain in Saint Domingue in 1762.",Yes,1758
Foubert,"Foubert was an ensign in the troops of Canada, and requested to travel to Louisiana in 1758.",Yes,1758
Normand,"Normand was a writer of the colonies in Louisiana from 1758, then in Cayenne from 1763, and was class commissioner in Bayonne in 1779.",Yes,1758
Le Gardeur de Repentigny,"Le Gardeur de Repentigny, Louis, count, born in 1721 in Montreal, was the second ensign of troops, then lieutenant in 1751, then captain in 1759 in New France. He was colonel of the America regiments in 1773, of Guadeloupe four years later, then of Martinique. He became governor of Senegal starting in 1783.",Yes,1759
"Jacques, de la Rochelle Bertaud","Jacques, de la Rochelle Bertaud was a colonizer of Louisiana starting in 1759, then in Saint-Domingue as a result of the Seven Years' War, and his wife Gabrielle Gabion, asked for rescuing in the 1770s.",Yes,1759
De Macarty de Macteigne,"De Macarty de Macteigne, a knight, joined the army in 1759. He was an ensign of the troops of Louisiana from 1762, moved to Saint-Domingue in 1779, then was a lieutenant of the volunteer grenadiers at Cap-Français in Saint-Domingue. He was the son of a lieutenant of the king in Louisiana.",Yes,1759
Count Charles Marie de Fontette-Sommery,"Count Charles Marie de Fontette-Sommery joined the army in 1760. He was the captain of the dragoons in the Artois regiment, and was employed in Saint-Domingue then as camp-help to Mr. de Boufflers in Senegal in 1779/1785.",Yes,1760
Maximin Joseph Félix Dantier,"Maximin Joseph Félix Dantier joined the troops of the French East India Company in 1759, left for Mauritius in 1761, and fought in the war on the Malabar coast in India in 1775.  He was appointed sub-lieutenant of the bourgeois militia of Mahé in 1778, was then promoted to officer in 1778, then second lieutenant in the Pondicherry regiment in 1784.  He was in Mauritius in 1785, and was a second lieutenant in 1787.",Yes,1761
François Petit,"François Petit was in Mauritius in 1761, and was incorporated into the Mauritius regiment in 1777.  He was an adjudant in the Isle Bourbon regiment starting in 1785, then was captain of the National Guard in Pondicherry starting in 1793.",Yes,1761
Count René Camille de Carné de Trecesson,"Count René Camille de Carné de Trecesson, husband of Françoise Louise Henriette de Rostaing, was aide-major general in Cayenne in 1762, second in command in the islands of Saint-Martin and Saint-Barthélemy in 1763, lieutenant-colonel of infantry in 1772, and battalion commander of the Guadeloupe regiment in 1775.  He was assassinated by his servant in 1784 in Avignon.",Yes,1762
François Marie René de Brethe,"François Marie René de Brethe arrived in Cayenne around 1762, became exempt from the company of constabulary there in 1764, returned to France in 1765, and was appointed captain in the regiment of Port-Louis, Mauritius.",Yes,1762
Tourton de Clairefontaine,"Tourton de Clairefontaine was in the service in Canada starting in 1743, then was a clerk and staff writer in the Marine in Canada.  He then left for Saint-Dominuge around 1763, where he became a shop-keeper starting in 1765.",Yes,1763
Jean Durseau,"Jean Durseau lived in Canada from before 1757, and requested rescue and travelled to Saint-Domingue or Martinique in 1763.",,1763
Marie Marthe Herbourg,"Marie Marthe Herbourg, from Canada, moved to Martinique in 1763.",Yes,1763
Joseph de Mars,"Joseph de Mars moved to Cayenne in 1763, was particular commander in Cayenne, and moved to Guadeloupe in 1768, where he worked in the staffs.",Yes,1763
Gille Huaud,"Gille Huaud, a former resident of Louisbourg, travelled to Cayenne in 1763 and was employed in the store in Sinnamary.",,1763
Nicolas Lafrenière,"Nicolas Lafrenière was born in Louisiana and worked as an attorney. He travelled to France and Saint-Domingue before returning to Louisiana in 1763. White, “Les Esclaves et le droit en Louisiane,” 62",Yes,1763
Jacques Lartigue,"Jacques Lartigue, originally from Louisbourg on Île Royale, was appointed for Cayenne in 1764, then became king's attorney for the jurisdiction of Cayenne.  He died in Cayenne around 1775. His father was a judge in Louisbourg.",Yes,1764
Charles Boucault,"Charles Boucault, a state prisoner for La Désirade, coming from Cayenne, died in Martinique 1764.",Yes,1764
De L'Ostende,"De L'Ostende, a knight, was the former captain of the Mauritius regiment, and asked to move to Cayenne in 1764.",,1764
Benoît Thérèse Rambaud,"Benoît Thérèse Rambaud was in Martinique from 1764 to 1767 with his brother, then returned to France in 1770.  In 1780, he was employed in Mauritius under the orders of the Chief Engineer, and in 1781 he landed in India, and worked as an officer infantry and engineer with the troops. He was a captain in the Pondicherry regiment in 1783, an officer in the foreign volunteer corps of the Navy, and a private commander in Senegal from 1787.",Yes,1764
Philippe Joseph Xavier de Verdière,"Philippe Joseph Xavier de Verdière, born in 1740, received a commission for infantry captain in 1764, and worked this station in Saint-Domingue. In 1765, he was the first aide-major in this colony, and he returned to France in 1766. In 1768, he was the captain of workers in Saint Domingue, returned to France in 1770, then was the captain of the Mauritius regiment from 1773.",,1764
Poillevé,"Poillevé was an officer in the Louisiana troops and lieutenant in the Saint-Domingue legion, and requested leave to return to France in 1765.",Yes,1765
Delisle,"Delisle, a former resident of Canada, was a counselor to the supreme counsel of Isle Bourbon, and died around 1770.",Yes,1765
Villeray,"Villeray was a former officer in Canada, and a second lieutenant in Saint-Domingue from 1765.",Yes,1765
"Antoine, free man of color","Antoine was a free man of color from the “Senegal nation.” He came to Louisiana as a sailor on the ship L’Espérance, which sailed between Lorient, Cap-Français, Havana and New Orleans. In 1765, he was sent to prison in New Orlean for having assaulted a white man who questioned him because he was wearing a sword. His father might have been a slave trader, or habitant of Gorée or Saint Louis in Senegambia, who sold captives to the Company of the Indies. Vidal, Caribbean New Orleans, 62.",,1765
Jacques Ange Hertel de Cournoyer,"Jacques Ange Hertel de Cournoyer, born December 8th 1730 at Île Royale, was a lieutenant in the Marine troops in Île Royale, then a captain of the regiment of the Cape in Saint-Domingue. He then became lieutenant-colonel of the regiment in Port-au-Prince, and of the same colony in 1766/1792.",Yes,1766
Philippe Antoine d'Ailleboust de Céry,"Philippe Antoine d'Ailleboust de Céry was born in Quebec in 1739.  He began his service around 1748 and was injured in 1759.  He was an ensign of the Canada troops, a lieutenant in Montreal, then a captain in the Saint-Domingue legion in Saint-Domingue in 1766.",Yes,1766
Joseph de Cabanac,"Joseph de Cabanac was born in Canada in 1739, and became a cadet in 1746, then second ensign in 1759, then sub-lieutenant of the Mauritius legion in 1766, then a lieutenant in 1769 and a captain in 1777.",Yes,1766
Constant François Xavier Daniel Marchant Des Ligneris,"Constant François Xavier Daniel Marchant Des Ligneris was born in Canada in 1739.  He was a cadet of the Canada colony troops in 1750, then a second ensign in Canada starting in 1757.  In 1760 he became an ensign in Canada, and in 1766 a lieutenant of the Saint-Domingue legion, then a captain in 1769, and lastly a second captain commander in 1785.",Yes,1766
Joseph Boucher Denois,"Joseph Boucher Denois was born in Canada in 1740.  He was a cadet in 1753 and a lieutenant in 1761 in Canada, then a sub-lieutenant of the Mauritius legion in 1766, then a lieutenant of the Port Louis regiment in 1772, and received a captain's comission of said regiment in 1777.",Yes,1766
Berthelot de Crosse,"Berthelot de Crosse, a former officer in Canada, received a captain's commission in the legion of Saint-Domingue in 1766, and was a lieutenant in Saint-Pierre and Miquelon.",Yes,1766
De Frondad,"De Frondad was a captain of the Angoumois regiment in Louisiana, and lived in Saint-Domingue in 1766, by which point he had been in the army for 23 years.",Yes,1766
Giraud,"Giraud, a resident of Cayenne, was sentenced for his abuse towards his black slaves in 1766, and travelled to Saint-Domingue.",,1766
Jean Claude Hardy,"Jean Claude Hardy was born in Mauritius, and was a soldier in the Saint-Domingue legion, and left in 1766.",Yes,1766
Claude Guy Philippe,"Claude Guy Philippe, born in 1734 in Paris, was an ensign in Louisiana, then a lieutenant in Saint-Domingue after 1766.",Yes,1766
Laurent Fusée-aublet,"Laurent Fusée-aublet was a doctor and botanist in Mauritius, Cayenne and Saint-Domingue.  He received a pension in 1773.",Yes,1766
Jean Baptiste de Chauvigny,"Jean Baptiste de Chauvigny was appointed captain following the national troops of Cayenne in 1764, then full captain in the legion of Mauritius in 1766 where he served until 1773, then was captain in the army of India in 178.",Yes,1766
Dubois,"Dubois was in active duty starting in 1766. He was a seneschal and lieutenant-general of admiralty in Guadeloupe, then was in the administration and magistracy in Saint Domingue.  He requested a position of his rank in Louisiana around 1780.",,1766
Marie Langlois,"Marie Langlois lived in Saint Domingue and moved to Louisiana after the the death of her first husband. In 1766, she was sentenced to perpetual banishment from New Orleans because she had sold tafia to enslaved people in exchange for stolen goods. Vidal, Caribbean New Orleans, 96",,1766
"Valentin, mulatto slave","Valentin was a mulatto slave from Martinique. He worked as a house domestic in New Orleans. He separated two white men who were fighting in his master’s residence in 1766. Vidal, Caribbean New Orleans, 202.",,1766
Jean Baptiste Barrère,Jean Baptiste Barrère was a negotiater at Cap-Français in Saint-Domingue who travelled to Martinique and Guadeloupe.  He underwent a confiscation trial by the Cayenne admiralty in 1768 for foreign trade on the ship le Bayonnais.,Yes,1768
Geoffrion de Boisy,"Geoffrion de Boisy, a resident of Isle Bourbon before 1768, was employed in the Isle Bourbon offices, travelled to Pondicherry, then was in the British army in 1772.",Yes,1768
Joseph Dallemand,"Joseph Dallemand was sent to Maurtius in 1768, then was a controller in Madagascar in 1770, and a commissioner of the Navy in Cayenne around 1774.",,1768
Martinon Du Verdereau,"Martinon Du Verdereau left for Mauritius in 1768 where he became attorney general to the king in 1772, then was appointed attorney general at the Superior Council of Pondicherry in 1776, then he returned to France.",Yes,1768
Dufay,"Dufay, lieutenant in the Queen's regiment, was in service in Canada for several campaigns, and requested a company in the Mauritius legion in 1769.",Yes,1769
Jean Louis Auvray-Dufresne,"Jean Louis Auvray-Dufresne, was a captain in the national troops of Cayenne from 1764, then in the legion of Saint-Domingue.",Yes,1769
Drouet de La Coulonnerie,"Drouet de La Coulonnerie was an ensign of the troops of Canada in 1765, then second lieutenant in the Mauritius legion in 1769.",,1769
Etienne Joseph Bance,"Etienne Joseph Bance, was a lawyer at the Parliament of Paris, an adviser to the Superior Council of Mauritius from 1769, then lived in Saint-Domingue, and was a judge at the civil court of Eure.",Yes,1769
Etienne Bardies Du Rouet,"Etienne Bardies Du Rouet, an abbot, was a missionary in Cayenne from 1769 and was also in Saint-Domingue.",Yes,1769
Louis Joseph Biemeré,"Louis Joseph Biemeré, a native of Givet, was a sergeant in the national troops of Cayenne from 1769, then a soldier in the regiment of Port-au-Prince in Saint-Domingue.",Yes,1769
Jean Baptiste Blandin,"Jean Baptiste Blandin, was an assistant surgeon in Mauritius from 1769 to 1776, then a major surgeon in the East Indies from 1779, in Pondicherry, then in Isle Bourbon from 1786.",Yes,1769
Jean Maurice Collet,"Jean Maurice Collet was a surgeon in New Orleans in Louisiana in 1769, then in Saint-Domingue.",Yes,1769
Louis Billouart de Kerlérec,"Louis Billouart de Kerlérec was born in Quimper, France in 1704. A military man, he participated in several naval campaigns in the Caribbean during the War of the Austrian Succession (1740–1748) and between 1750 and 1751. He was the governor of Louisiana from 1753 to 1763.",Yes,1770
Nicolas Jacquin-Philibert,"Nicolas Jacquin-Philibert, a former resident of Canada, wished to travel to Isle Bourbon and be with his brother, who was the sub-commissary of the Marine in 1770.",,1770
Jean Baptiste La Barthe,"Jean Baptiste La Barthe, a negotiator and resident of Port-au-Prince in Saint-Domingue, requested a concession in Cayenne in 1770.",,1770
Joseph André François Carles,"Joseph André François Carles, originally from Castres, was a volunteer in the Auvergne regiment, a sergeant in the French guards, and was charged as such with the guarding of Damiens.  He was a captain in the regiment of recruits in Perpignan, an aide-major captain of the legion of Mauritius in 1770, a captain aide-major to the Pondicherry regiment in 1773, a lieutenant-colonel in 1778, and a field marshal in 1791.",Yes,1770
Desmahis,"Desmahis was a former merchant from Saint-Domingue, who went to settle in Mauritius in 1770.",Yes,1770
Jean Baptiste Faveris,"Jean Baptiste Faveris, originally from Isle Bourbon, was a major surgeon at Gorée in 1770, and returned to Isle Bourbon in the 1780s.",Yes,1770
Arnaud-Etienne Périchon de Vaudeuil,"Arnaud-Etienne Périchon de Vaudeuil was born in Paris in 1746, was in India in 1770, was an adviser to the Superior Council of Pondicherry from 1775, then to that of Isle Bourbon.",Yes,1770
Nicolas Jacques Desvaulx,"Nicolas Jacques Desvaulx was born in Chandannagar in 1745.  He travelled to France before being sent back to India with a captain's comission in 1771.  He then became a captain commander of an artillery company in Pondicherry in 1777.  He was in Mauritius from 1781 to 1786, where he was an artillery captain, and was promoted to lieutenant colonel in 1787.",Yes,1771
Thorame,"Thorame, a clerk in Cayenne, was taken to Mauritius after 1771.",Yes,1771
Joseph Antoine Desgarcins,"Joseph Antoine Desgarcins, an architect, went to India in 1771, was employed for the fortifications of Pondicherry, then was exempt from the constabulary in Saint-Domingue, and died in Saint Domingue in 1782.",Yes,1771
Charles François Du Myrat de Vertpré,"Charles François Du Myrat de Vertpré was a major general in Mauritius in 1771, achieved the rank of colonel in 1771, then was employed as colonel in Saint-Domingue and Martinique in 1780.",Yes,1771
Jolibert,"Jolibert was a chaplain in Gorée around 1771, and died in Guadeloupe in 1778.",,1771
Alexandre Joseph Neyon de Soizy,"Alexandre Joseph Neyon de Soizy was a cadet in Louisiana in 1757, then a lieutenant/sub-aide-major in Guadeloupe in 1772.  He then became captain in that same colony starting in 1774.",Yes,1772
César Antoine Dufaur,"César Antoine Dufaur was a lieutenant in the Mauritius legion starting in 1766, a captain in the Pondicherry regiment from 1772, retired with the major's certificate, and died in 1786.",Yes,1772
Nicolas Auger,"Nicolas Auger was a Creole man from Senegal born around 1735, and a cooper hired in Mauritius in 1772.",Yes,1772
D'Arrot,"D'Arrot was a knight, then viscount, and a lieutenant grenadier in Pondicherry in 1772, 1773 and 1774. He was on an expedition to Senegal in 1778, and was aide-marshal-general of housing in Saint-Domingue, then second in command in Guadeloupe, and was the governor of Tabago in the 1780s.",Yes,1772
Jouanne de Saint-Martin,"Jouanne de Saint-Martin, a merchant in La Rochelle, asked to leave for Cayenne and Saint-Domingue in 1772.",,1772
Jean Baptiste Nicolas Claude Lefebvre,"Jean Baptiste Nicolas Claude Lefebvre was a sub-merchant then attorney general at the Superior Council of Pondicherry from c. 1772, then was a King's attorney for the jurisdiction of Isle Bourbon from 1784.",Yes,1772
Pierre Bremeuil,"Pierre Bremeuil was a sergeant in the Indian battalion, and set off from Mauritius for Pondicherry in 1773.",Yes,1773
Louis de Curt,"Louis de Curt was the aide-de-camp to M. d'Estaing, and was a captain in Guadeloupe in 1773.  He was the king's commissioner for the verification and suppression of paper money in Mauritius and Isle Bourbon starting in 1784, then was the deputy of Guadeloupe in the Constituent Assembly.",Yes,1773
Deschiens de Villefeu,"Deschiens de Villefeu was employed as a lieutenant on the king's corvette le Necessaire, then was the captain of the ship L'Indienne from Bordeaux, going to Mauritius.  He spent time in Cayenne, and an incident that occurred during his break in Gorée in 1774.",Yes,1774
Sonnerat,"Sonnerat was an architect, traveler, and naturalist, in Mauritius between 1768 and 1772.  He travelled to India and China from 1774 to 1781, and was a commissioner of the Navy in Pondicherry from 1786 to 1789, then a commander in Yanam from 1789 to 1793, and an administrator of the Jardin des Plantes.",,1774
Ignace Brunel,"Ignace Brunel was the king's attorney in 1772 and a deputy attorney general of the Superior Council of Mauritius.  He was also a lieutenant judge of the royal jurisdiction of Mauritius in 1774, then was the first adviser to the Superior Council of Pondicherry in 1776, then a judge of the senechaussee of Mauritius.",Yes,1774
Joseph Alexandre Le Brasseur,"Joseph Alexandre Le Brasseur entered the service in 1762 as a clerk in the colonial office, then was a commissioner in Gorée from 1774, and in Saint-Domingue from 1779, where he then held the position of intendant and president of the Superior Councils, and became commissioner of Mauritius in 1784.",Yes,1774
Alexandre René Dagneaux-Douville,"Alexandre René Dagneaux-Douville was born in Canada in 1736.  He served in the Canada colony, and was then captain of the Guadeloupe regiment, then second commander at Saint-Martin and Saint-Barthélemy islands, and withdrew after becoming a lieutenant-colonel of the infantry.",Yes,1775
François Caro,"François Caro was an invalid of the troops of the French East India Company in Mauritius.  Having come to France, he requested to return to Pondicherry where his family still was in 1775.",Yes,1775
Balthazar Fabre Pontfrac de Mazan,"Balthazar Fabre Pontfrac de Mazan was a former officer of the troops sent to Louisiana, and died as a major of Fort-Dauphin in Saint-Domingue in 1775.",Yes,1775
Jacques Olivier,"Jacques Olivier was exempt from a constabulary in Saint-Domingue, then was a gunner in Mauritius, and asked to travel to Pondicherry in 1775.",,1775
Bordes,"Bordes entered the colonial office in 1765, was deputy commissioner of the Navy in Cayenne in 1775, and was clerk of the jurisdiction and the admiralty of Pointe-à-Pitre in Guadeloupe with a patent obtained in 1776.",Yes,1775
Jacques Descorches de Sainte-Croix,"Jacques Descorches de Sainte-Croix was a deputy commissioner of the Navy in Brest and Rochefort, moved to Pondicherry in 1775, was appointed as authorizing officer in Chandannagar in 1777, and moved to Mauritius in 1779.",Yes,1775
Aimé Guillin Du Montet,"Aimé Guillin Du Montet was a lieutenant of the king in Guadeloupe in 1775, achieved the rank of colonel in 1778, was governor of Saint-Vincent in 1780, and governor of Senegal in 1781.",Yes,1775
Anne Elisabeth Gadobert,"Anne Elisabeth Gadobert lived in Illinois and in Louisiana, and died in Saint-Domingue in 1776.",,1776
Pierre Le Cler,"Pierre Le Cler, from Quebec, was a sailor who died in Pondicherry in 1776.",Yes,1776
De Lépine,"De Lépine was employed in writing in Guadeloupe, and asked to move to Pondicherry in 1776.",Yes,1776
Joseph Pascaud,"Joseph Pascaud, a native of Bas-Poitou, formerly a merchant in Quebec, applied for the King's license as an interpreter for the English language at Cap-Français in Saint-Domingue in 1776.  He spent time there, and received an interpreter's commission for the English language in Cape Town in 1777, then an interpreter commission from the king to the government and the courts of Saint-Domingue in 1779.",,1776
Nicolas Joseph Barbier de blignières,"Nicolas Joseph Barbier de blignières was a lieutenant of the infantry, and staff engineer to the King in Cayenne in 1766, then captain of dragoons in Saint-Domingue around 1776.",Yes,1776
Henri Louis Jérôme Desrivierre-Gers,"Henri Louis Jérôme Desrivierre-Gers was appointed lieutenant in the Martinique regiment in 1773, second lieutenant of the volunteers of Africa in Gorée, was promoted to the rank of lieutenant in 1776, returned as second lieutenant to the Guadeloupe regiment in 1776, and was appointed local aide-major in Cayenne in 1777.",Yes,1776
Barry de Richeville,"Barry de Richeville was an adviser to the Superior Council of Pondicherry around 1776, and then a lieutenant, then was a member of the Superior Council of Mauritius from 1788, and died in 1792.",,1776
Baudin,"Baudin was in charge of a mission to Mauritius, and he landed in Pondicherry in 1776.",Yes,1776
De Champagne,"De Champagne, a knight, was a second lieutenant in the Artois regiment, who remained in Mauritius after the departure of this regiment for France, then moved to Pondicherry in 1776.",Yes,1776
Jean Harné,"Jean Harné, a native of Isle Bourbon, was a student pilot, and died in Chandannagar 1777.",Yes,1777
Claude François de Proby,"Claude François de Proby was a former lieutenant of militias in Saint-Domingue, and requested this rank in Cayenne where he managed a residency starting in October 1777.",Yes,1777
Louis François Estoupan de Laval,"Louis François Estoupan de Laval moved to Mauritius in 1769. He was an employee of the French East India Company in Mauritius island until 1774. He joined the offices of the administration of Pondicherry in 1774, and travelled to Mahé in 1777. He was taken prisoner by the English in 1778 and was imprisoned for 4 years. In 1782, he was employed in the accounting office of Mauritius and Isle Bourbon. His father died as head of sales of the French East India Company. Mr David his uncle died as director of the French East India Company, and Mr David his son was the governor of Mauritius and Isle Bourbon. His uncle Mr Estoupan de Villeneuve was captain of the vessels of the French East India Company. His three uncles were successively governors of Senegal.",Yes,1777
Clause,"Clause, an Alsatian merchant established in New England, moved to Martinique, then to Gorée around 1777.",Yes,1777
Thomas Lacroix de Villeneuve,"Thomas Lacroix de Villeneuve was an adviser to the Superior Council of Pondicherry in 1777, then was appointed adviser to the Superior Council of Port-au-Prince in Saint-Domingue in 1782.",Yes,1777
Benoit Giraud,"Benoit Giraud, known as the Hector the Mulatto, was described as a freeborn black from Martinique. He spent time in Paris, and was exiled to Isle of France in 1777 for being a “dangerous man” who had made defamatory allegations against some public figures. Vaughan, Creating the Creole Island, 191–196",Yes,1777
Jean Baptiste Vigoureux Du Plessis,"Jean Baptiste Vigoureux Du Plessis, born in Chandannagar on May 6th 1735, was a lieutenant-colonel of the infantry, then commander in Mahé in 1778.  He was the governor of Saint-Vincent in the Antilles in 1780, then brigadier of the king's armies in 1784, and the governor of Isle Bourbon in 1771/1814.",Yes,1778
Jean Benoist de Courville,"Jean Benoist de Courville, born in Montreal on December 8th 1751, was lieutenant of the Martinique regiment, then captain of the Guadeloupe regiment.",Yes,1778
Duhart,"Duhart was the captain of the Bursar, who came from Saint-Domingue to Gorée in 1778, and was sent to Cayenne. It is not known whether he arrived at the latter destination.",Yes,1778
Pierre Boyé,"Pierre Boyé moved to Mauritius in 1768 where he was a sergeant, then moved to Isle Bourbon in 1778 where he was a clerk, returned to Mauritius in 1780 to be employed as a clerk, and received an army crew artillery guard commission in India in 1781.",Yes,1778
François Millon,"François Millon served first as attorney general (procureur general) in the colonia Council of Isle Bourbon and later as sénéchal and judge in Saint-Marc, Saint-Domingue. Wood, Archipelago of Justice pp. 65–7",Yes,1778
De Georges,"De Georges  born in Canada in 1759, was a gentleman cadet and second lieutenant in the regiment of the Cape in Saint-Domingue, then in the regiment of Martinique in 1779/1790.",Yes,1779
Estèbe,"Estèbe, a former adviser to the Superior Council of Quebec, secretary of the King in the chancellery at the court of aid of Bordeaux, asked that the letters of that post which had been granted to him be registered at the Superior Council of Saint-Domingue, where he had a part of his family in 1779.",Yes,1779
Jérôme Gauvain,"Jérôme Gauvain, born in Louisiana, joined the army in 1779.  He was a port captain in CaOui-Saint-Louis, in Saint-Domingue, and served on ships with destinations of Saint Domingue, Guinea, and Martinique.",Yes,1779
Nicolas Gérard Garnier d'Aiglancay,"Nicolas Gérard Garnier d'Aiglancay arrived in Mauritius in 1779. He was a lieutenant of the infantry in Mauritius, in Pondicherry and in Saint-Domingue.",,1779
Michel Hertel de Cournoyer,"Michel Hertel de Cournoyer was born at Île Royale in 1735 and died in Cayenne in 1780.  He was a cadet at Île Royale, an ensign in Canada, and an aide-major of the national troops in French Guiyana.",Yes,1780
Baron Louis Auguste de Breteuil,Baron Louis Auguste de Breteuil was a dealer in Cayenne.  He undertook business in Saint-Domingue in the 1780s.,Yes,1780
François Chenot,"François Chenot embarked for Mauritius in 1780, became corporal and embarked for India in 1781, then became aide-major in Pondicherry in 1792.",Yes,1780
Camille Charles Le Clerc de Fresne,"Camille Charles Le Clerc de Fresne, a knight, embarked for the Windward Islands of the Antilles in 1780, was a major general on the island of Grenada, second in command in Saint-Christophe, a colonel of the regiment of Isle Bourbon from 1784, then governor in Pondicherry, then returned to France in 1793.",,1780
Simon Etienne Dubreuil,"Simon Etienne Dubreuil moved to Mauritius in 1781: he was employed there in the armaments office and then in the general store office. He left Mauritius in 1782 to go to India where he worked as a brigade secretary. He was employed in the store in Trincomalee, then in the work of the fortifications in Pondicherry, before being sent to Mahé where he worked as a notary, king's attorney, and national commissioner.",,1781
Jean Baptiste Dufaure de La Curatrie,"Jean Baptiste Dufaure de La Curatrie moved to Mauritius in 1781: he was employed there in the armaments office and then in that of the general store. He left Mauritius in 1782 to go to India as secretary of the Brigade. He was employed in the engineering accounting department for jobs in Pondicherry, then as a notary in Mahé.  He was second lieutenant in the national troops of Cayenne, and a lieutenant in the regiment of Port-au-Prince in Saint-Domingue in 1772/1773.",Yes,1781
Thomas Hauguet,"Thomas Hauguet was an employee in the offices in Saint-Domingue, then was a controller of the colonies in Senegal. He obtained a pension in 1781.",,1781
La Carrière,"La Carrière was a second lieutenant following the artillery of Mauritius and Isle Bourbon, then in Pondicherry starting in 1781.",Yes,1781
Louis Richard,"Louis Richard, the king's naturalist, went to Cayenne in 1781, then spent time in the Windward Islands of the Antilles, and traveled to Martinique in 1788 to conduct botanical studies.",Yes,1781
Joseph Verret,"Joseph Verret was a resident of Louisiana, then an entrepreneur of the sugar mills in Saint-Domingue, and held a correspondence in 1781/1782.",Yes,1781
Luneau de Villeson,"Luneau de Villeson, a clerk in Senegal, died in Martinique in 1782.",Yes,1782
Jean Baptiste Coutoy,"Jean Baptiste Coutoy, a native of Quebec, was a sailor aboard the vessel of the King le Souverain. He died in Martinique in 1782.",Yes,1782
Joseph Paul Augustin de Cambefort de La Motte-Bézat,"Joseph Paul Augustin de Cambefort de La Motte-Bézat was the captain of the Mauritius regiment in 1772, achieved the rank of major in 1776, then of first aide-major in 1778, then of lieutenant colonel in 1781, then of major in the regiment of Guadeloupe in 1782.  He was then lieutenant in the Guadeloupe regiment in 1785, and lieutenant in the Cap de Saint Domingue regiment in 1786.",Yes,1782
Jean de Palerne,"Jean de Palerne began his service as second lieutenant in the Mauritius regiment in 1773, served as an aide major in the same island in 1775, then also as captain in the same island in 1777, arrived in India around 1782, and became a captain in the Pondicherry regiment.",Yes,1782
Guillaume François Foin,"Guillaume François Foin was a soldier in the Pondicherry regiment, and died in Mauritius in 1782.",Yes,1782
Thomas Doyon,"Thomas Doyon, from Quebec, was a poor bourgeois who died in Martinique in 1783.",Yes,1783
Irénée Bertry,Irénée Bertry was a missionary to Louisiana and Saint-Domingue before 1783.,Yes,1783
Jean Pierre Delosmes-Desdodins,"Jean Pierre Delosmes-Desdodins was an adviser to the Superior Council of Pondicherry, a former Attorney General of the Superior Council of Mauritius, and an assistant to the Controller of the Navy before 1783.",Yes,1783
​​Antoine Marie Joseph d 'Espinassy,"​​Antoine Marie Joseph d 'Espinassy arrived in Mauritius in 1783. He was a second  artillery lieutenant in Mauritius in 1783, then first lieutenant of the regiment of the royal body of artillery.  He was employed at Saint- Domingue in 1788 with a captain's commission, and became a general in 1797.",Yes,1783
Louis Hazeur de Lorme,"Louis Hazeur de Lorme was born in Louisiana in 1746.  He was captain of the Guadeloupe regiment, then interim commander in Tabago in 1785, and 1754/1792.",Yes,1785
Jean Baptiste Manent,"Jean Baptiste Manent was in the legion of Mauritius as a soldier from 1766, then as a lieutenant from 1772. In 1785, he was appointed captain commander of the Isle Bourbon regiment, then captain in 1785, then was incorporated into the Pondicherry regiment in 1789.",Yes,1785
